recinto,asiento,NombreRecinto,FRI,SOLUCIONES-CON-TODOS,PATRIA-UNIDOS,A-UPP,LIBRE,PDC,NGP,MTS,APB-SUMATE,UNIDOS-,votos_totales,InscritosHabilitados,participacion,ganador,votos_ganador,pct_ganador,partido_2do,votos_2do,pct_2do,margen_victoria,pct_FRI,pct_SOLUCIONES-CON-TODOS,pct_PATRIA-UNIDOS,pct_A-UPP,pct_LIBRE,pct_PDC,pct_NGP,pct_MTS,pct_APB-SUMATE,pct_UNIDOS-
113,821,Instituto Eduardo Laredo,16,193,205,55,128,11,189,21,1052,46,1916,2418,79.2,APB-SUMATE,1052,54.9,PATRIA-UNIDOS,205,10.7,44.2,0.8,10.1,10.7,2.9,6.7,0.6,9.9,1.1,54.9,2.4
114,821,Instituto Americano,49,573,576,226,488,57,585,64,3510,149,6277,7665,81.9,APB-SUMATE,3510,55.9,NGP,585,9.3,46.6,0.8,9.1,9.2,3.6,7.8,0.9,9.3,1,55.9,2.4
115,821,Colegio Jaime Escalante,18,117,122,33,100,10,117,15,690,32,1254,1525,82.2,APB-SUMATE,690,55,PATRIA-UNIDOS,122,9.7,45.3,1.4,9.3,9.7,2.6,8,0.8,9.3,1.2,55,2.6
116,821,Centro Inmaculada Concepcion,15,145,198,32,124,2,127,14,753,39,1449,1747,82.9,APB-SUMATE,753,52,PATRIA-UNIDOS,198,13.7,38.3,1,10,13.7,2.2,8.6,0.1,8.8,1,52,2.7
117,821,Escuela Maryknoll,19,179,159,26,116,6,150,16,835,38,1544,1909,80.9,APB-SUMATE,835,54.1,SOLUCIONES-CON-TODOS,179,11.6,42.5,1.2,11.6,10.3,1.7,7.5,0.4,9.7,1,54.1,2.5
119,821,Escuela Jose Maria Santivañez,39,321,339,100,247,32,384,35,2135,97,3729,4499,82.9,APB-SUMATE,2135,57.3,NGP,384,10.3,47,1,8.6,9.1,2.7,6.6,0.9,10.3,0.9,57.3,2.6
120,821,Colegio Maryknoll,55,441,391,109,345,29,452,45,2759,109,4735,5693,83.2,APB-SUMATE,2759,58.3,NGP,452,9.5,48.8,1.2,9.3,8.3,2.3,7.3,0.6,9.5,1,58.3,2.3
121,821,Liceo Guindalina Loayza,6,110,106,33,90,14,107,5,793,43,1307,1543,84.7,APB-SUMATE,793,60.7,SOLUCIONES-CON-TODOS,110,8.4,52.3,0.5,8.4,8.1,2.5,6.9,1.1,8.2,0.4,60.7,3.3
122,821,Colegio Venezuela,22,153,107,72,115,12,178,13,1090,46,1808,2169,83.4,APB-SUMATE,1090,60.3,NGP,178,9.8,50.5,1.2,8.5,5.9,4,6.4,0.7,9.8,0.7,60.3,2.5
123,821,Colegio Richard Von Weizacker,27,266,203,97,206,32,217,44,1881,72,3045,3591,84.8,APB-SUMATE,1881,61.8,SOLUCIONES-CON-TODOS,266,8.7,53.1,0.9,8.7,6.7,3.2,6.8,1.1,7.1,1.4,61.8,2.4
125,821,Colegio Branco Petricevic,79,429,344,290,340,56,475,74,3339,183,5609,6810,82.4,APB-SUMATE,3339,59.5,NGP,475,8.5,51,1.4,7.6,6.1,5.2,6.1,1,8.5,1.3,59.5,3.3
